Date,shpgfopen,shpgfclose,shpgflow,shpgfhigh,shpgfvolume
2010-12-31,23.799999237060547,23.850000381469727,23.799999237060547,23.850000381469727,800.0
2011-01-03,24.200000762939453,24.25,24.200000762939453,24.25,700.0
2011-01-04,24.350000381469727,24.200000762939453,24.200000762939453,24.350000381469727,3700.0
2011-01-05,24.049999237060547,24.049999237060547,24.049999237060547,24.049999237060547,300.0
2011-01-06,24.049999237060547,24.049999237060547,24.049999237060547,24.049999237060547,100.0
2011-01-07,24.450000762939453,24.450000762939453,24.450000762939453,24.600000381469727,14500.0
2011-01-10,24.649999618530273,24.649999618530273,24.649999618530273,24.649999618530273,300.0
2011-01-11,24.649999618530273,24.649999618530273,24.649999618530273,24.649999618530273,0.0
2011-01-12,24.649999618530273,24.649999618530273,24.649999618530273,24.649999618530273,0.0
2011-01-13,25.899999618530273,25.799999237060547,25.799999237060547,25.899999618530273,700.0
2011-01-14,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,0.0
2011-01-18,26.350000381469727,26.75,26.350000381469727,26.75,5000.0
2011-01-19,26.75,26.75,26.75,26.75,0.0
2011-01-20,26.75,26.75,26.75,26.75,0.0
2011-01-21,26.75,26.75,26.75,26.75,0.0
2011-01-24,26.299999237060547,26.25,26.25,26.299999237060547,400.0
2011-01-25,26.25,26.25,26.25,26.25,0.0
2011-01-26,26.649999618530273,26.75,26.649999618530273,26.75,500.0
2011-01-27,26.899999618530273,26.700000762939453,26.700000762939453,27.0,6400.0
2011-01-28,25.899999618530273,25.899999618530273,25.899999618530273,25.899999618530273,2200.0
2011-01-31,25.899999618530273,25.899999618530273,25.899999618530273,25.899999618530273,0.0
2011-02-01,25.899999618530273,25.899999618530273,25.899999618530273,25.899999618530273,0.0
2011-02-02,25.899999618530273,25.899999618530273,25.899999618530273,25.899999618530273,0.0
2011-02-03,26.25,26.25,26.25,26.25,900.0
2011-02-04,26.25,26.25,26.25,26.25,0.0
2011-02-07,26.450000762939453,26.549999237060547,26.450000762939453,26.549999237060547,2100.0
2011-02-08,26.75,26.899999618530273,26.75,26.899999618530273,1400.0
2011-02-09,26.899999618530273,26.899999618530273,26.899999618530273,26.899999618530273,0.0
2011-02-10,26.75,26.75,26.75,26.75,600.0
2011-02-11,27.049999237060547,27.049999237060547,27.049999237060547,27.049999237060547,800.0
2011-02-14,27.049999237060547,27.149999618530273,27.049999237060547,27.149999618530273,2700.0
2011-02-15,27.350000381469727,27.350000381469727,27.350000381469727,27.350000381469727,400.0
2011-02-16,27.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,1300.0
2011-02-17,27.899999618530273,27.899999618530273,27.899999618530273,27.899999618530273,1000.0
2011-02-18,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,1100.0
