Date,mlmopen,mlmclose,mlmlow,mlmhigh,mlmvolume
2014-11-14,124.23999786376953,126.47000122070312,124.23999786376953,126.62999725341797,388900.0
2014-11-17,126.18000030517578,125.77999877929688,124.9800033569336,126.68000030517578,468300.0
2014-11-18,126.0,127.5,125.77999877929688,127.56999969482422,606700.0
2014-11-19,127.83000183105469,128.19000244140625,126.31999969482422,128.47999572753906,558500.0
2014-11-20,127.44999694824219,128.63999938964844,126.86000061035156,129.5800018310547,457500.0
2014-11-21,130.42999267578125,130.22000122070312,129.74000549316406,131.38999938964844,741900.0
2014-11-24,130.85000610351562,130.27000427246094,129.91000366210938,130.85000610351562,470700.0
2014-11-25,130.55999755859375,127.3499984741211,127.18000030517578,131.7100067138672,916600.0
2014-11-26,127.37000274658203,125.5199966430664,124.06999969482422,128.16000366210938,840100.0
2014-11-28,125.23999786376953,120.04000091552734,119.94999694824219,125.23999786376953,613400.0
2014-12-01,119.55000305175781,115.66999816894531,115.36000061035156,119.72000122070312,1164700.0
2014-12-02,114.76000213623047,118.5999984741211,114.55000305175781,118.66000366210938,1031200.0
2014-12-03,118.20999908447266,119.94000244140625,118.20999908447266,121.94999694824219,914300.0
2014-12-04,119.83000183105469,119.5999984741211,119.20999908447266,121.0,434200.0
2014-12-05,119.25,117.9800033569336,117.56999969482422,120.0999984741211,503700.0
2014-12-08,117.37999725341797,113.77999877929688,113.05999755859375,117.7699966430664,983700.0
2014-12-09,113.41000366210938,114.76000213623047,112.52999877929688,114.79000091552734,701300.0
2014-12-10,114.37000274658203,111.52999877929688,110.26000213623047,114.54000091552734,1042100.0
2014-12-11,112.08000183105469,111.44999694824219,111.0,113.73999786376953,1147100.0
2014-12-12,110.7300033569336,107.41000366210938,107.41000366210938,111.63999938964844,848400.0
2014-12-15,107.93000030517578,104.80999755859375,104.75,109.12000274658203,796200.0
2014-12-16,103.66999816894531,106.5999984741211,103.08999633789062,108.19999694824219,1302200.0
2014-12-17,107.12999725341797,111.26000213623047,106.41999816894531,111.3499984741211,935700.0
2014-12-18,111.7300033569336,115.4000015258789,111.7300033569336,115.44000244140625,940600.0
2014-12-19,116.22000122070312,119.26000213623047,115.18000030517578,119.5199966430664,1601600.0
2014-12-22,119.73999786376953,114.01000213623047,113.5999984741211,119.73999786376953,1272300.0
2014-12-23,114.44999694824219,111.79000091552734,111.47000122070312,114.45999908447266,771700.0
2014-12-24,112.25,111.69000244140625,110.94999694824219,112.98999786376953,446900.0
2014-12-26,111.97000122070312,111.48999786376953,111.43000030517578,113.18000030517578,341700.0
2014-12-29,111.43000030517578,111.94999694824219,110.87000274658203,112.38999938964844,452700.0
2014-12-30,111.68000030517578,110.9000015258789,110.0,111.94999694824219,518800.0
2014-12-31,111.55000305175781,110.31999969482422,110.31999969482422,112.62999725341797,389400.0
2015-01-02,111.62999725341797,110.8499984741211,109.62999725341797,112.66999816894531,478100.0
2015-01-05,109.91000366210938,106.33000183105469,105.7699966430664,110.27999877929688,671600.0
2015-01-06,106.33999633789062,105.30999755859375,104.1500015258789,107.94000244140625,799500.0
2015-01-07,105.98999786376953,107.7699966430664,105.30000305175781,108.77999877929688,743400.0
2015-01-08,108.87000274658203,111.91000366210938,108.69000244140625,112.3499984741211,755200.0
2015-01-09,112.06999969482422,109.77999877929688,109.23999786376953,112.52999877929688,706600.0
2015-01-12,110.26000213623047,110.08999633789062,107.4000015258789,110.4000015258789,529600.0
2015-01-13,111.23999786376953,108.75,107.12000274658203,112.25,653900.0
2015-01-14,107.0,106.66000366210938,105.36000061035156,107.5,789200.0
2015-01-15,107.37999725341797,104.58000183105469,104.52999877929688,107.77999877929688,575900.0
2015-01-16,104.62000274658203,107.94000244140625,104.62000274658203,108.05999755859375,675100.0
2015-01-20,108.7300033569336,108.52999877929688,107.19000244140625,109.0199966430664,520100.0
