Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-07-01,4.860000133514404,5.119999885559082,4.840000152587891,5.320000171661377,3800.0
2014-07-02,5.139999866485596,4.880000114440918,4.619999885559082,5.139999866485596,5100.0
2014-07-03,4.579999923706055,4.579999923706055,4.579999923706055,4.579999923706055,200.0
2014-07-07,4.599999904632568,4.71999979019165,4.599999904632568,4.71999979019165,600.0
2014-07-08,4.900000095367432,4.619999885559082,4.619999885559082,4.900000095367432,800.0
2014-07-09,4.599999904632568,4.579999923706055,4.579999923706055,4.619999885559082,1100.0
2014-07-10,4.800000190734863,4.579999923706055,4.579999923706055,4.800000190734863,600.0
2014-07-11,4.599999904632568,4.539999961853027,4.539999961853027,4.659999847412109,800.0
2014-07-14,4.619999885559082,4.519999980926514,4.5,4.639999866485596,2500.0
2014-07-15,4.519999980926514,4.480000019073486,4.480000019073486,4.619999885559082,16400.0
2014-07-16,4.5,4.559999942779541,4.5,4.579999923706055,9500.0
2014-07-17,4.539999961853027,4.420000076293945,4.420000076293945,4.840000152587891,43300.0
2014-07-18,4.599999904632568,4.639999866485596,4.480000019073486,4.639999866485596,6800.0
2014-07-21,4.440000057220459,4.440000057220459,4.420000076293945,4.619999885559082,12100.0
2014-07-22,4.5,4.28000020980835,4.28000020980835,4.599999904632568,9400.0
2014-07-23,4.460000038146973,4.260000228881836,4.260000228881836,4.5,13700.0
2014-07-24,4.420000076293945,4.460000038146973,4.420000076293945,4.460000038146973,300.0
2014-07-25,4.420000076293945,4.300000190734863,4.300000190734863,4.460000038146973,1000.0
2014-07-28,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0.0
2014-07-29,4.300000190734863,4.199999809265137,4.179999828338623,4.400000095367432,1900.0
2014-07-30,4.460000038146973,4.119999885559082,4.119999885559082,4.460000038146973,10200.0
2014-07-31,4.119999885559082,4.159999847412109,4.099999904632568,4.179999828338623,4800.0
2014-08-01,4.059999942779541,4.159999847412109,4.039999961853027,4.239999771118164,5100.0
2014-08-04,4.159999847412109,3.940000057220459,3.9200000762939453,4.159999847412109,1300.0
2014-08-05,4.139999866485596,3.940000057220459,3.940000057220459,4.139999866485596,2600.0
2014-08-06,4.099999904632568,3.9800000190734863,3.9800000190734863,4.119999885559082,4100.0
2014-08-07,3.9200000762939453,3.9200000762939453,3.9200000762939453,4.079999923706055,5500.0
2014-08-08,4.019999980926514,4.019999980926514,3.940000057220459,4.019999980926514,8200.0
2014-08-11,3.9800000190734863,4.099999904632568,3.9800000190734863,4.139999866485596,12600.0
2014-08-12,4.139999866485596,4.139999866485596,4.019999980926514,4.300000190734863,10400.0
2014-08-13,4.199999809265137,4.239999771118164,4.179999828338623,4.28000020980835,1400.0
2014-08-14,4.0,4.139999866485596,4.0,4.179999828338623,24300.0
2014-08-15,4.300000190734863,4.599999904632568,4.28000020980835,4.920000076293945,56400.0
2014-08-18,4.679999828338623,4.480000019073486,4.480000019073486,4.920000076293945,29000.0
2014-08-19,4.519999980926514,4.360000133514404,4.360000133514404,4.71999979019165,5200.0
2014-08-20,4.400000095367432,4.360000133514404,4.360000133514404,4.5,700.0
2014-08-21,4.5,4.440000057220459,4.360000133514404,4.5,2100.0
2014-08-22,4.360000133514404,4.380000114440918,4.360000133514404,4.400000095367432,400.0
2014-08-25,4.360000133514404,4.5,4.360000133514404,4.5,200.0
2014-08-26,4.420000076293945,4.159999847412109,4.159999847412109,4.460000038146973,9300.0
2014-08-27,4.139999866485596,4.260000228881836,4.139999866485596,4.260000228881836,1600.0
2014-08-28,4.300000190734863,4.159999847412109,4.139999866485596,4.300000190734863,3900.0
2014-08-29,4.21999979019165,4.059999942779541,4.039999961853027,4.260000228881836,4200.0
2014-09-02,4.019999980926514,3.9800000190734863,3.9600000381469727,4.179999828338623,9200.0
2014-09-03,3.9800000190734863,4.159999847412109,3.9800000190734863,4.159999847412109,9500.0
2014-09-04,4.179999828338623,4.079999923706055,4.079999923706055,4.179999828338623,600.0
2014-09-05,4.159999847412109,4.21999979019165,4.139999866485596,4.21999979019165,2500.0
