Date,txmdopen,txmdclose,txmdlow,txmdhigh,txmdvolume
2018-05-22,6.190000057220459,5.849999904632568,5.800000190734863,6.190000057220459,3392900
2018-05-23,5.809999942779541,5.949999809265137,5.730000019073486,6.340000152587891,7890700
2018-05-24,6.019999980926514,6.090000152587891,5.940000057220459,6.159999847412109,2349600
2018-05-25,6.099999904632568,6.400000095367432,6.099999904632568,6.519999980926514,4531800
2018-05-29,6.579999923706055,6.429999828338623,6.239999771118164,6.590000152587891,5198700
2018-05-30,6.699999809265137,6.059999942779541,5.849999904632568,6.820000171661377,18067200
2018-05-31,6.070000171661377,5.909999847412109,5.71999979019165,6.070000171661377,5692400
2018-06-01,5.900000095367432,5.849999904632568,5.670000076293945,5.929999828338623,3989800
2018-06-04,5.900000095367432,5.820000171661377,5.760000228881836,6.03000020980835,3118900
2018-06-05,5.869999885559082,6.590000152587891,5.869999885559082,6.650000095367432,8333600
2018-06-06,6.599999904632568,7.190000057220459,6.550000190734863,7.309999942779541,9975100
2018-06-07,7.190000057220459,7.380000114440918,6.949999809265137,7.400000095367432,5855200
2018-06-08,7.329999923706055,7.420000076293945,7.28000020980835,7.659999847412109,4796400
2018-06-11,7.400000095367432,7.039999961853027,6.889999866485596,7.510000228881836,3651200
2018-06-12,7.110000133514404,6.989999771118164,6.980000019073486,7.25,3424800
2018-06-13,7.019999980926514,6.78000020980835,6.769999980926514,7.050000190734863,3216000
2018-06-14,6.809999942779541,6.880000114440918,6.699999809265137,6.949999809265137,2279500
2018-06-15,7.239999771118164,7.130000114440918,7.0,7.420000076293945,7301800
2018-06-18,7.099999904632568,7.199999809265137,6.920000076293945,7.199999809265137,2236500
2018-06-19,7.170000076293945,7.179999828338623,7.090000152587891,7.239999771118164,2606500
2018-06-20,7.170000076293945,7.28000020980835,7.110000133514404,7.320000171661377,2061400
2018-06-21,7.28000020980835,7.070000171661377,7.059999942779541,7.340000152587891,2400800
2018-06-22,7.110000133514404,7.010000228881836,6.889999866485596,7.179999828338623,3473700
2018-06-25,7.03000020980835,6.699999809265137,6.630000114440918,7.099999904632568,2427300
2018-06-26,6.699999809265137,6.989999771118164,6.659999847412109,7.010000228881836,2223300
2018-06-27,6.96999979019165,6.809999942779541,6.800000190734863,7.039999961853027,1928800
2018-06-28,6.789999961853027,6.670000076293945,6.630000114440918,6.860000133514404,2646600
2018-06-29,6.710000038146973,6.239999771118164,6.150000095367432,6.769999980926514,3920000
2018-07-02,6.190000057220459,6.349999904632568,6.110000133514404,6.409999847412109,2093600
2018-07-03,6.349999904632568,6.320000171661377,6.260000228881836,6.420000076293945,810100
2018-07-05,6.349999904632568,6.409999847412109,6.260000228881836,6.449999809265137,1247300
2018-07-06,6.420000076293945,6.559999942779541,6.369999885559082,6.579999923706055,1371400
2018-07-09,6.570000171661377,6.590000152587891,6.46999979019165,6.619999885559082,1401400
2018-07-10,6.570000171661377,6.769999980926514,6.570000171661377,6.820000171661377,1721100
2018-07-11,6.699999809265137,6.699999809265137,6.650000095367432,6.809999942779541,1142200
2018-07-12,6.690000057220459,6.730000019073486,6.539999961853027,6.75,1175100
2018-07-13,6.769999980926514,6.679999828338623,6.679999828338623,6.840000152587891,1376900
2018-07-16,6.710000038146973,6.579999923706055,6.489999771118164,6.730000019073486,1153500
2018-07-17,6.570000171661377,6.679999828338623,6.550000190734863,6.75,986300
2018-07-18,6.650000095367432,6.610000133514404,6.519999980926514,6.699999809265137,875500
2018-07-19,6.510000228881836,6.710000038146973,6.480000019073486,6.71999979019165,1605800
2018-07-20,6.679999828338623,6.619999885559082,6.590000152587891,6.849999904632568,1382000
2018-07-23,6.619999885559082,6.75,6.619999885559082,6.789999961853027,1212100
2018-07-24,6.769999980926514,6.460000038146973,6.449999809265137,6.820000171661377,1834700
2018-07-25,6.489999771118164,6.5,6.420000076293945,6.579999923706055,1642800
2018-07-26,6.519999980926514,6.429999828338623,6.409999847412109,6.670000076293945,1533800
2018-07-27,6.420000076293945,6.079999923706055,6.03000020980835,6.489999771118164,2272100
2018-07-30,5.980000019073486,5.519999980926514,5.5,6.059999942779541,4339800
2018-07-31,5.5,5.21999979019165,5.190000057220459,5.599999904632568,4968600
2018-08-01,5.230000019073486,5.179999828338623,5.119999885559082,5.300000190734863,3272100
2018-08-02,5.179999828338623,5.239999771118164,5.070000171661377,5.28000020980835,6917400
2018-08-03,5.28000020980835,5.21999979019165,5.150000095367432,5.300000190734863,2550500
2018-08-06,5.25,5.25,5.150000095367432,5.300000190734863,1581100
2018-08-07,5.260000228881836,5.349999904632568,5.239999771118164,5.489999771118164,2763200
