Date,osisopen,osisclose,osislow,osishigh,osisvolume
2017-08-22,78.66000366210938,78.95999908447266,78.51000213623047,79.76000213623047,114600
2017-08-23,79.04000091552734,78.7699966430664,78.04000091552734,79.38999938964844,199900
2017-08-24,78.61000061035156,79.2300033569336,78.5199966430664,79.5999984741211,179400
2017-08-25,81.87999725341797,83.83000183105469,80.58999633789062,86.13999938964844,806300
2017-08-28,83.98999786376953,82.95999908447266,81.66000366210938,84.05000305175781,327300
2017-08-29,82.88999938964844,83.68000030517578,82.44000244140625,84.45999908447266,203400
2017-08-30,83.12000274658203,83.18000030517578,82.1500015258789,83.8499984741211,201700
2017-08-31,83.08999633789062,83.05999755859375,82.94000244140625,84.19000244140625,117700
2017-09-01,83.62000274658203,83.44999694824219,82.9800033569336,84.0999984741211,96300
2017-09-05,83.12000274658203,83.5199966430664,82.33999633789062,83.94999694824219,165800
2017-09-06,83.94000244140625,83.61000061035156,82.77999877929688,83.94999694824219,112900
2017-09-07,83.88999938964844,83.41000366210938,82.6500015258789,83.88999938964844,136100
2017-09-08,83.88999938964844,82.38999938964844,81.95999908447266,83.88999938964844,127400
2017-09-11,82.45999908447266,81.95999908447266,81.55000305175781,82.87999725341797,153500
2017-09-12,82.27999877929688,82.77999877929688,81.0999984741211,83.08000183105469,103500
2017-09-13,82.5,82.52999877929688,82.23999786376953,83.0199966430664,91800
2017-09-14,82.37000274658203,82.98999786376953,82.0199966430664,83.11000061035156,96800
2017-09-15,83.0,84.2699966430664,82.38999938964844,84.5,168400
2017-09-18,84.30000305175781,85.58999633789062,83.69000244140625,85.87000274658203,141600
2017-09-19,85.44999694824219,86.16000366210938,85.44999694824219,86.58999633789062,146100
2017-09-20,86.47000122070312,86.48999786376953,85.41000366210938,86.87999725341797,73100
2017-09-21,86.2699966430664,86.75,83.9000015258789,87.05000305175781,64600
2017-09-22,86.80000305175781,86.88999938964844,85.97000122070312,87.91000366210938,68500
2017-09-25,86.58999633789062,85.80999755859375,85.4000015258789,86.91000366210938,89600
2017-09-26,86.29000091552734,87.98999786376953,86.19000244140625,88.58000183105469,144800
2017-09-27,88.47000122070312,90.61000061035156,87.75,92.02999877929688,218200
2017-09-28,90.58000183105469,90.73999786376953,90.04000091552734,91.33000183105469,131900
2017-09-29,90.75,91.37000274658203,90.18000030517578,92.33999633789062,150400
2017-10-02,91.88999938964844,92.11000061035156,90.97000122070312,92.16999816894531,188700
2017-10-03,92.97000122070312,92.51000213623047,91.08999633789062,93.55999755859375,157900
2017-10-04,93.0,92.94000244140625,92.11000061035156,93.5,102100
2017-10-05,93.56999969482422,93.37999725341797,93.0199966430664,93.73999786376953,145800
2017-10-06,93.55000305175781,95.66999816894531,93.4000015258789,96.08000183105469,242400
2017-10-09,96.44000244140625,95.5,95.1500015258789,96.62999725341797,184000
2017-10-10,95.62999725341797,95.20999908447266,94.12999725341797,95.94999694824219,175000
2017-10-11,95.80000305175781,95.31999969482422,95.12000274658203,96.22000122070312,146000
2017-10-12,95.19999694824219,95.76000213623047,95.04000091552734,96.33000183105469,189200
2017-10-13,96.2699966430664,95.43000030517578,95.25,96.63999938964844,140700
2017-10-16,95.33999633789062,95.3499984741211,95.0,96.4800033569336,87700
2017-10-17,95.5,94.47000122070312,94.02999877929688,95.94999694824219,214600
2017-10-18,94.8499984741211,94.80000305175781,94.01000213623047,95.19000244140625,123300
2017-10-19,94.30999755859375,93.73999786376953,93.13999938964844,94.58999633789062,182000
2017-10-20,94.37000274658203,93.83000183105469,93.62999725341797,95.01000213623047,117200
2017-10-23,94.0,92.51000213623047,92.41000366210938,94.3499984741211,141100
2017-10-24,93.05000305175781,92.01000213623047,91.62999725341797,93.70999908447266,251100
2017-10-25,91.61000061035156,91.25,89.72000122070312,91.94999694824219,183100
2017-10-26,91.81999969482422,91.43000030517578,89.27999877929688,92.37999725341797,246700
2017-10-27,94.30999755859375,91.23999786376953,83.69999694824219,95.88999938964844,460900
2017-10-30,90.5999984741211,88.0999984741211,86.91999816894531,90.95999908447266,218500
2017-10-31,88.25,88.37999725341797,87.79000091552734,89.4800033569336,225000
2017-11-01,88.94000244140625,88.58000183105469,87.81999969482422,89.43000030517578,203400
2017-11-02,89.06999969482422,89.83000183105469,88.1500015258789,90.30999755859375,134600
2017-11-03,89.51000213623047,89.88999938964844,89.29000091552734,90.20999908447266,117600
2017-11-06,89.58999633789062,90.75,89.44999694824219,91.37000274658203,117500
2017-11-07,90.63999938964844,89.04000091552734,88.5199966430664,90.63999938964844,129700
2017-11-08,89.0999984741211,90.19999694824219,88.41000366210938,90.44000244140625,131300
2017-11-09,89.5999984741211,89.9000015258789,89.4800033569336,90.66000366210938,135200
2017-11-10,90.0,90.29000091552734,89.5999984741211,91.0,103200
2017-11-13,89.87000274658203,90.69999694824219,89.87000274658203,91.2300033569336,101500
2017-11-14,90.36000061035156,90.48999786376953,89.87999725341797,91.04000091552734,161700
2017-11-15,90.05999755859375,88.93000030517578,88.68000030517578,90.05999755859375,103300
2017-11-16,89.26000213623047,90.55999755859375,88.86000061035156,91.44999694824219,200000
2017-11-17,90.47000122070312,90.41000366210938,89.91000366210938,90.94000244140625,223200
2017-11-20,90.45999908447266,89.98999786376953,89.61000061035156,90.68000030517578,163900
2017-11-21,90.36000061035156,90.05999755859375,89.55999755859375,90.86000061035156,141700
